id_devolucion,id_venta,fecha_devolucion,motivo,importe_devuelto
D50034,V106928,2023-04-12,Cliente insatisfecho,10980.0
D50035,V315201,1970-01-03,LLEGÓ FRÍO,16105.0
D50036,V303469,1970-01-10,Cambio de opinión,37884.0
D50037,V210545,2024-01-31,Producto defectuoso,15538.0
D50038,V302350,1970-01-08,Cliente insatisfecho,4.0
D50039,V300070,1970-01-12,Producto defectuoso,153620.0
D50040,V201340,2024-05-11,Cliente insatisfecho ,13933.0
D50041,V313897,1970-01-10, Tamaño equivocado,26304.0
D50042,V313109,2025-04-05,Error en pedido,114066.0
D50043,V101827,2023-08-07,Error en pedido,46772.0
D50044,V216664,2024-03-11,Cambio de opinión,36007.0
D50045,V301967,2025-04-03,Producto vencido,22760.0
D50046,V106618,2023-04-11,Sabor incorrecto,69948.0
D50047,V311350,2025-07-20,Cliente insatisfecho,6.0
D50048,V308382,2025-05-19,CLIENTE INSATISFECHO,9381.0
D50049,V302611,1970-01-08,Error en pedido,14141.0
D50050,V209378,2024-10-28,Error en pedido,29023.0
D50051,V103141,2023-06-14,Llegó tibio,31788.0
D50052,V107082,2023-05-18,producto defectuoso,39231.0
D50053,V211757,2024-03-10,Cambio de opinión,9833.0
D50054,V201972,2024-06-01,Producto vencido,15462.0
D50055,V113066,2023-01-14,Error en pedido,132996.0
D50056,V301164,1970-01-14,Tamaño equivocado,15462.0
D50057,V305333,2025-07-12,Sabor incorrecto,10351.0
D50058,V317174,1970-01-03,Tamaño equivocado,26306.0
D50059,V308253,1970-01-06,CLIENTE INSATISFECHO,41412.0
D50060,V301657,1970-01-05,error en pedido,30563.0
D50061,V104974,2023-11-17,Cliente insatisfecho,220546.0
D50062,V311908,1970-01-02,Cliente insatisfecho,59579.0
D50063,V306112,2025-11-23,Cambio de opinión,12629.0
D50064,V111488,2023-11-19,PRODUCTO VENCIDO,7137.0
D50065,V209779,2024-06-27,Sabor incorrecto,93321.0
D50066,V304449,2025-12-08,Tamaño equivocado,85985.0
D50067,V108466,2023-12-23,Producto defectuoso,74319.0
D50068,V103463,2023-08-14,Tamaño equivocado,80116.0
D50069,V212372,2024-12-28,error en pedido,6380.0
D50070,V214543,2024-04-07,Cambio de opinión,12684.0
D50071,V200311,2024-06-10,Llegó frío,53458.0
D50072,V211095,2024-10-11,Cambio de opinión,5571.0
D50073,V314448,1970-01-10,llegó tibio,19966.0
D50074,V103431,2023-10-01,Tamaño equivocado,13680.0
D50075,V113447,2023-07-31,Cambio de opinión,13667.0
D50076,V314339,1970-01-14,Producto defectuoso,148.0
D50077,V301052,1970-01-12,Tamaño equivocado,54088.0
D50078,V113547,2023-07-04,Llegó tibio,20434.0
D50079,V309895,2025-06-10,LLEGÓ FRÍO,5220.0
D50080,V302212,1970-01-15,Producto vencido,5579.0
D50081,V208457,2024-12-01,Producto defectuoso,23998.0
D50082,V315581,2026-01-05,Tamaño equivocado,26988.0
D50083,V313779,2025-08-01,Cambio de opinión,27754.0
D50084,V212896,2024-12-15,Cambio de opinión,39804.0
D50085,V310783,2025-10-23,TAMAÑO EQUIVOCADO,16078.0
D50086,V212050,2024-03-26,Tamaño equivocado,40705.0
D50087,V211676,2024-07-24,producto vencido,112295.0
D50088,V201732,2024-04-25,Sabor incorrecto,77503.0
D50089,V300107,1970-01-09,Tamaño equivocado,13039.0
D50090,V316267,1970-01-05,Error en pedido,29795.0
D50091,V211982,2024-07-05,Producto defectuoso,25783.0
D50092,V309323,2025-02-21,sabor incorrecto,10469.0
D50093,V111532,2023-08-12,Sabor incorrecto,59668.0
D50094,V112154,2023-03-21,LLEGÓ FRÍO,40066.0
D50095,V309818,1970-01-07,SABOR INCORRECTO,8383.0
D50096,V315677,1970-01-09,cambio de opinión,1.0
D50097,V215301,2024-10-28,Llegó tibio,18619.0
D50098,V317326,1970-01-02,Llegó tibio,34559.0
D50099,V313145,1970-01-08,Error en pedido,11867.0
D50100,V317222,2025-09-07,Producto vencido,11350.0
D50101,V305201,1970-01-05,Cambio de opinión,137.0
D50102,V204808,2024-05-22,Producto vencido,144585.0
D50103,V204946,2024-09-19,Producto defectuoso,52013.0
D50104,V105615,2023-11-12,Producto vencido,61916.0
D50105,V307564,2025-01-15,Llegó tibio,14276.0
D50106,V213556,2024-12-31,Llegó frío,40082.0
D50107,V104228,2023-08-25,Sabor incorrecto,14965.0
D50108,V215914,2024-10-30,Tamaño equivocado,10844.0
D50109,V213231,2024-05-18,Sabor incorrecto,19013.0
D50110,V315454,1970-01-12,Error en pedido,23142.0
D50111,V318501,1969-12-06,error en pedido,6.0
D50112,V205676,2024-12-28,CLIENTE INSATISFECHO,22756.0
D50113,V300387,2025-09-21,CAMBIO DE OPINIÓN,57431.0
D50114,V302796,2025-10-28,Error en pedido ,120569.0
D50115,V212253,2024-09-10,TAMAÑO EQUIVOCADO,66227.0
D50116,V303275,1970-01-07,Tamaño equivocado,408.0
D50117,V113625,2023-10-07,CLIENTE INSATISFECHO,33348.0
D50118,V106682,2023-05-04,Producto defectuoso,10629.0
D50119,V208642,2024-10-15,llegó frío,14884.0
D50120,V201831,2024-07-21,Tamaño equivocado,58273.0
D50121,V211397,2024-06-07,Error en pedido,8716.0
D50122,V204950,2024-08-13,Llegó frío,61860.0
D50123,V212887,2024-10-26,Llegó tibio,25803.0
D50124,V106449,2023-11-04,Cambio de opinión,18781.0
D50125,V203012,2024-05-17,tamaño equivocado,13091.0
D50126,V306302,2025-12-11,Tamaño equivocado,14517.0
D50127,V317769,2025-08-05,Producto defectuoso ,41980.0
D50128,V104871,2023-06-07,Cliente insatisfecho,57496.0
D50129,V308464,1970-01-03,Tamaño equivocado,8660.0
D50130,V317355,1970-01-12,Cliente insatisfecho,3.0
D50131,V215252,2024-12-15,TAMAÑO EQUIVOCADO,16945.0
D50132,V108813,2023-05-16,llegó frío,248212.0
D50133,V100075,2023-08-22,Cambio de opinión,15612.0
D50134,V302340,2025-02-01,Cliente insatisfecho,66939.0
D50135,V308969,1970-01-10,CLIENTE INSATISFECHO,40416.0
D50136,V108859,2023-09-09,Llegó frío,103258.0
D50137,V103575,2023-10-25,Sabor incorrecto,17577.0
D50138,V306212,2025-03-06,Error en pedido,36126.0
D50139,V215255,2024-02-16,Cliente insatisfecho,278274.0
D50140,V113094,2023-08-16,Producto vencido ,21862.0
D50141,V215873,2024-12-12,Llegó tibio,18510.0
D50142,V312465,2025-09-06,Llegó tibio,85049.0
D50143,V203413,2024-05-30,Llegó frío,30514.0
D50144,V301837,1970-01-12,Producto vencido,5.0
D50145,V318189,1970-01-02,Cambio de opinión,13201.0
D50146,V305360,2025-12-03,Tamaño equivocado,75131.0
D50147,V305439,1970-01-03,Error en pedido,2.0
D50148,V209661,2024-06-01,Error en pedido,29682.0
D50149,V314965,2025-12-30,Llegó tibio,41777.0
D50150,V101311,2023-06-06,Sabor incorrecto,9342.0
D50151,V315644,2025-07-30,Llegó tibio,45778.0
D50152,V314525,1970-01-11,LLEGÓ FRÍO,6514.0
D50153,V303230,1970-01-02,Tamaño equivocado,17.0
D50154,V316605,1970-01-06,Cambio de opinión,448.0
D50155,V112203,2023-08-06, Producto defectuoso,40407.0
D50156,V202281,2024-08-15,Error en pedido,23788.0
D50157,V107395,2023-11-12,Producto vencido,36482.0
D50158,V203173,2024-06-02,Sabor incorrecto,41289.0
D50159,V212198,2024-01-18,Cambio de opinión,26218.0
D50160,V203433,2024-01-21,sabor incorrecto,19725.0
D50161,V205580,2024-06-08,Cambio de opinión,19073.0
D50162,V104502,2023-03-09,Producto defectuoso,8404.0
D50163,V308102,2025-08-24,tamaño equivocado,73657.0
D50164,V300230,1970-01-10,Error en pedido,11506.0
D50165,V315327,1970-01-02,Tamaño equivocado,19036.0
D50166,V305288,1970-01-13,Llegó frío,4.0
D50167,V312842,1970-01-06,Error en pedido,6107.0
D50168,V315396,1970-01-06,Llegó tibio,38780.0
D50169,V315952,2025-02-02,Cliente insatisfecho,64999.0
D50170,V214135,2024-04-13,Cambio de opinión,61968.0
D50171,V109031,2023-09-27,Error en pedido,83311.0
D50172,V202530,2025-01-01,Error en pedido,44290.0
D50173,V315958,1970-01-03,Llegó frío,4476.0
D50174,V302338,2025-06-22,cambio de opinión,17.0
D50175,V203155,2025-01-10,Tamaño equivocado,25560.0
D50176,V308558,2025-01-21,Error en pedido,40489.0
D50177,V301468,1970-01-11,Llegó tibio,37139.0
D50178,V303210,2025-02-21,Cliente insatisfecho,156926.0
D50179,V313855,2025-06-21,CAMBIO DE OPINIÓN,16865.0
D50180,V302276,2025-07-11,llegó frío,8.0
D50181,V201826,2024-10-13,Llegó tibio,18689.0
D50182,V201926,2024-02-17,PRODUCTO DEFECTUOSO,16986.0
D50183,V215039,2024-04-30,cliente insatisfecho,9669.0
D50184,V212157,2024-12-12,Cliente insatisfecho,9861.0
D50185,V106882,2023-02-16,Tamaño equivocado,13680.0
D50186,V214525,2024-10-04,Producto defectuoso,17064.0
D50187,V315796,1970-01-13,Tamaño equivocado,100829.0
D50188,V200005,2024-03-10,Llegó tibio,25504.0
D50189,V107177,2023-01-27,cambio de opinión,84742.0
D50190,V110565,2023-12-26,Sabor incorrecto,17446.0
D50191,V312588,1970-01-07,Tamaño equivocado,2.0
D50192,V110677,2023-02-07,Error en pedido,50099.0
D50193,V317561,2025-06-13,cambio de opinión,7.0
D50194,V307357,1970-01-14,TAMAÑO EQUIVOCADO,5.0
D50195,V318034,2025-02-09,Sabor incorrecto,11857.0
D50196,V110142,2023-03-21,Error en pedido,9909.0
D50197,V102725,2023-11-24, Tamaño equivocado,11617.0
D50198,V109183,2023-06-03, Producto defectuoso,16152.0
D50199,V200902,2024-05-26,Llegó frío ,43330.0
D50200,V301804,1970-01-14,Cliente insatisfecho,30131.0
D50201,V102338,2023-06-01,Llegó tibio,42655.0
D50202,V214672,2024-11-06,Producto vencido,15279.0
D50203,V308429,2025-03-03,SABOR INCORRECTO,25719.0
D50204,V200245,2024-08-18,Llegó tibio,10674.0
D50205,V317825,1970-01-02,Llegó tibio,269.0
D50206,V301262,2025-12-09,Llegó tibio,2.0
D50207,V111483,2023-06-05, Producto vencido,36942.0
D50208,V314699,2025-10-22,Tamaño equivocado,3.0
D50209,V213649,2024-12-25,Cambio de opinión,34162.0
D50210,V102029,2023-05-30,PRODUCTO DEFECTUOSO,25240.0
D50211,V110715,2023-09-11,Producto defectuoso,6031.0
D50212,V102838,2023-07-10,Llegó tibio,16681.0
D50213,V208413,2024-02-14,Sabor incorrecto,107321.0
D50214,V316441,1970-01-14,Error en pedido,3.0
D50215,V216554,2024-04-08,llegó tibio,28277.0
D50216,V314757,2025-07-09,Producto defectuoso,21735.0
D50217,V300743,1969-12-07, Llegó frío,16576.0
D50218,V300144,1970-01-02,Tamaño equivocado,7190.0
D50219,V206721,2024-07-05,Cliente insatisfecho ,76794.0
D50220,V317314,2025-12-22,LLEGÓ TIBIO,51121.0
D50221,V206060,2024-06-26,Llegó frío,15015.0
D50222,V113232,2023-08-23,producto defectuoso,13263.0
D50223,V109005,2023-02-08,Llegó frío,6741.0
D50224,V101921,2023-11-22,producto vencido,4335.0
D50225,V108113,2023-10-19,Llegó tibio,11042.0
D50226,V103795,2023-03-15,Cambio de opinión,168511.0
D50227,V104289,2023-05-02, Producto vencido,105994.0
D50228,V208061,2024-04-08,Llegó frío,20735.0
D50229,V207973,2024-06-26,Producto vencido,37649.0
D50230,V318857,1970-01-09,PRODUCTO VENCIDO,3.0
D50231,V105865,2023-06-23,Cambio de opinión,20056.0
D50232,V110633,2023-05-10,Llegó tibio,17121.0
D50233,V312564,1970-01-10,Llegó frío,159.0
D50234,V104594,2023-12-08, Cambio de opinión,29958.0
D50235,V106140,2023-08-23,Llegó tibio,27426.0
D50236,V313732,2025-06-28,Producto defectuoso,5.0
D50237,V304676,1970-01-10,Cambio de opinión ,19.0
D50238,V200019,2024-04-05,SABOR INCORRECTO,66427.0
D50239,V311449,2025-11-14,tamaño equivocado,50403.0
D50240,V213566,2024-07-24,Sabor incorrecto,20636.0
D50241,V304741,1970-01-05,Tamaño equivocado,27205.0
D50242,V310043,1970-01-04,LLEGÓ FRÍO,39308.0
D50243,V103859,2023-01-25,Llegó frío,227333.0
D50244,V204371,2024-03-26,Producto vencido,9872.0
D50245,V315749,2025-11-22,Llegó tibio,54.0
D50246,V216843,2024-10-19,Tamaño equivocado,88418.0
D50247,V206086,2024-02-28,Cliente insatisfecho,8682.0
D50248,V102378,2023-12-29,Tamaño equivocado,55398.0
D50249,V212634,2024-10-04,Tamaño equivocado,104502.0
D50250,V209685,2024-05-20,Cambio de opinión,29157.0
D50251,V200509,2024-05-02,Producto defectuoso,27690.0
D50252,V303597,1970-01-08,Llegó frío,24376.0
D50253,V203268,2024-07-27,Sabor incorrecto,10772.0
D50254,V214884,2024-09-20,Llegó tibio,36250.0
D50255,V103393,2023-06-20,Error en pedido,96464.0
D50256,V301149,1970-01-06,Producto defectuoso,18308.0
D50257,V112280,2023-07-15,Llegó tibio,50588.0
D50258,V305249,1970-01-10,Cliente insatisfecho,8494.0
D50259,V203656,2024-10-02,sabor malo,10597.0
D50260,V307016,1970-01-09,Cliente insatisfecho,58216.0
D50261,V314470,1970-01-10,Sabor incorrecto,25178.0
D50262,V213722,2024-08-12,Producto defectuoso,23955.0
D50263,V200745,2024-11-30,Cliente insatisfecho,28374.0
D50264,V204028,2024-06-22, Error en pedido,23459.0
D50265,V306336,2025-12-13,Cambio de opinión,12122.0
D50266,V202558,2024-09-16,Llegó frío,123266.0
D50267,V110314,2023-08-26,Cambio de opinión,61225.0
D50268,V205822,2024-04-26,Producto defectuoso,6844.0
D50269,V106234,2023-01-29,Cambio de opinión,17816.0
D50270,V303434,2025-01-25,Error en pedido,34808.0
D50271,V314785,2025-01-17,Cambio de opinión,72.0
D50272,V313803,1970-01-13,Cliente insatisfecho,21.0
D50273,V306358,2025-09-04,Cambio de opinión,7908.0
D50274,V315513,1970-01-06,Cambio de opinión,130231.0
D50275,V105984,2023-11-09,Llegó frío,27297.0
D50276,V203587,2024-07-22,Llegó tibio,8231.0
D50277,V110067,2023-02-07,Llegó tibio,20660.0
D50278,V306268,2025-02-02,Error en pedido,105023.0
D50279,V201136,2024-04-13,Cambio de opinión,39243.0
D50280,V301811,2025-07-05, Producto vencido,79967.0
D50281,V214517,2024-03-31,Error en pedido,15917.0
D50282,V107168,2024-01-07,Cambio de opinión,10016.0
D50283,V204126,2024-10-05,Cambio de opinión,5857.0
D50284,V204170,2024-10-17,Cambio de opinión,8663.0
D50285,V212761,2024-12-09,Llegó frío,15956.0
D50286,V315547,1970-01-08,PRODUCTO DEFECTUOSO,12.0
D50287,V209270,2024-07-28,Tamaño equivocado,75497.0
D50288,V314967,1970-01-14,TAMAÑO EQUIVOCADO,88742.0
D50289,V213889,2024-09-21,Producto vencido,35767.0
D50290,V315801,1970-01-06,Error en pedido,95022.0
D50291,V216393,2024-06-25,Producto vencido,13450.0
D50292,V216405,2024-10-04,Tamaño equivocado,19374.0
D50293,V208987,2024-01-24,Llegó tibio,22661.0
D50294,V106268,2023-08-21,Error en pedido ,14143.0
D50295,V203511,2024-06-16,Tamaño equivocado,46597.0
D50296,V208558,2024-09-20,SABOR INCORRECTO,29178.0
D50297,V102869,2023-07-19,Producto defectuoso,18553.0
D50298,V318356,1970-01-10,cambio de opinión,11311.0
D50299,V312131,1970-01-15,Producto defectuoso,11093.0
D50300,V205950,2024-10-14,Error en pedido,11438.0
D50301,V215839,2024-08-28,Producto defectuoso,52921.0
D50302,V105887,2023-12-08,Tamaño equivocado,253521.0
D50303,V212140,2024-01-31,Llegó tibio,19308.0
D50304,V112058,2023-03-14,error en pedido,34972.0
D50305,V302953,2025-11-20,Tamaño equivocado,20864.0
D50306,V103854,2023-03-07,Cliente insatisfecho ,9471.0
D50307,V317898,1970-01-14, Llegó frío,21191.0
D50308,V102248,2023-06-07,sabor incorrecto,36771.0
D50309,V306009,2025-05-29,Cambio de opinión,10008.0
D50310,V200382,2025-01-12,Cambio de opinión,46483.0
D50311,V102663,2023-12-29,sabor incorrecto,113716.0
D50312,V317091,2025-05-09,cliente insatisfecho,8434.0
D50313,V300014,2025-11-24,Cambio de opinión,53020.0
D50314,V101305,2023-06-15,Sabor incorrecto,61922.0
D50315,V316742,1970-01-14,Cliente insatisfecho,43530.0
D50316,V314907,1970-01-04, Producto defectuoso,235.0
D50317,V111716,2023-03-16,Sabor incorrecto,19294.0
D50318,V107864,2023-11-03,Cliente insatisfecho,80742.0
D50319,V301187,2025-12-03,CLIENTE INSATISFECHO,427.0
D50320,V308825,2025-11-21,Error en pedido,12068.0
D50321,V207475,2024-10-30, Producto defectuoso,24651.0
D50322,V304656,1970-01-04,Tamaño equivocado,21765.0
D50323,V302831,2025-03-27,Llegó frío,17299.0
D50324,V108654,2023-12-14,Cambio de opinión,10293.0
D50325,V211923,2024-05-08,Producto vencido,116846.0
D50326,V106391,2023-03-14,llegó frío,65484.0
D50327,V310120,2025-07-01,Cliente insatisfecho,4567.0
D50328,V201736,2024-07-10,sabor incorrecto,19195.0
D50329,V312323,2025-09-21,Llegó tibio,139367.0
D50330,V303770,1970-01-13,Sabor incorrecto,16600.0
D50331,V108675,2023-09-02,Cambio de opinión,11481.0
D50332,V108082,2023-02-23,tamaño equivocado,16633.0
D50333,V306071,1970-01-03,Error en pedido,41837.0
D50334,V201406,2024-09-30,Producto defectuoso,29452.0
D50335,V109572,2023-09-22,Producto vencido,17643.0
D50336,V106014,2023-03-11,Sabor incorrecto,6149.0
D50337,V109447,2023-12-01,ERROR EN PEDIDO,26245.0
D50338,V101222,2023-01-13,SABOR INCORRECTO,28503.0
D50339,V101994,2023-12-25,PRODUCTO DEFECTUOSO,15156.0
D50340,V109246,2023-02-12,Llegó tibio,12790.0
D50341,V310233,1970-01-09,Error en pedido,7.0
D50342,V204974,2024-12-19,Sabor incorrecto,18453.0
D50343,V211479,2024-01-15,Producto defectuoso,6283.0
D50344,V301058,2025-07-19,Sabor incorrecto,6692.0
D50345,V209620,2024-03-10,Llegó frío,16229.0
D50346,V203327,2024-08-11, Producto defectuoso,72770.0
D50347,V302737,2025-12-27, Tamaño equivocado,7100.0
D50348,V207337,2024-12-26,Producto defectuoso,65477.0
D50349,V106836,2023-11-29,Cambio de opinión,14175.0
D50350,V213347,2024-06-04,Cambio de opinión,77761.0
D50351,V301123,2025-11-26, Cambio de opinión,29689.0
D50352,V205181,2024-02-17,Producto defectuoso,26719.0
D50353,V311846,1970-01-10,CAMBIO DE OPINIÓN,2.0
D50354,V110190,2023-07-19,Llegó FRIO,16040.0
D50355,V102235,2023-10-10,Cliente insatisfecho,59623.0
D50356,V303705,1970-01-03,Producto vencido,19.0
D50357,V111523,2023-08-01,Cliente insatisfecho,23910.0
D50358,V201881,2024-07-02,producto defectuoso,35834.0
D50359,V202144,2024-06-04,sabor malo,21604.0
D50360,V202626,2024-09-08,Cambio de opinión,31978.0
D50361,V308069,1970-01-14,Llegó tibio,79.0
D50362,V213485,2024-08-19,Sabor incorrecto,19458.0
D50363,V100269,2023-08-20,LLEGÓ FRÍO,13057.0
D50364,V311637,2025-07-29,Llegó frío,56040.0
D50365,V201430,2024-07-19,Producto vencido,17276.0
D50366,V301132,2025-08-27,Cambio de opinión,63540.0
D50367,V207987,2024-07-01,Cambio de opinión,38056.0
D50368,V104959,2023-10-31,Producto defectuoso,4806.0
D50369,V311640,1970-01-06,Cambio de opinión,87620.0
D50370,V211910,2024-07-12,CLIENTE INSATISFECHO,23319.0
D50371,V210793,2024-02-01,llegó frío,33658.0
D50372,V100533,2023-08-06,Llegó frío,9434.0
D50373,V213499,2024-10-12,Cliente insatisfecho,95266.0
D50374,V305137,1970-01-13,Llegó frío,16422.0
D50375,V318151,2025-06-18,Sabor incorrecto,12.0
D50376,V310709,1970-01-04,Error en pedido,17710.0
D50377,V216916,2024-11-18,Producto vencido,151985.0
D50378,V109012,2023-09-10,Cliente insatisfecho,17872.0
D50379,V213159,2024-06-14,Sabor incorrecto,11241.0
D50380,V216399,2024-11-13,PRODUCTO VENCIDO,94917.0
D50381,V214166,2024-10-01,Llegó tibio ,21855.0
D50382,V306311,1970-01-09,Tamaño equivocado,20581.0
D50383,V202006,2024-08-16,Error en pedido,27152.0
D50384,V310253,2025-03-21,Sabor incorrecto,125.0
D50385,V312476,1970-01-04,Producto defectuoso,66588.0
D50386,V314669,2026-01-02,Error en pedido,6.0
D50387,V209296,2024-08-16,Cambio de opinión,36456.0
D50388,V107752,2023-05-18,cambio de opinión,18238.0
D50389,V202203,2024-09-22,Tamaño equivocado,27094.0
D50390,V109894,2023-06-15,Producto vencido,17142.0
D50391,V302698,1970-01-07,Llegó frío,53730.0
D50392,V201739,2024-12-10,Llegó tibio,41034.0
D50393,V302249,1970-01-08,Cliente insatisfecho,27503.0
D50394,V207529,2024-10-18,TAMAÑO EQUIVOCADO,11946.0
D50395,V314592,2025-09-29,Error en pedido,114696.0
D50396,V205534,2024-06-06,Llegó tibio,15264.0
D50397,V208129,2024-04-09,Cliente insatisfecho,30221.0
D50398,V203365,2024-04-05,Error en pedido,85795.0
D50399,V300841,2025-12-19,CLIENTE INSATISFECHO,18.0
D50400,V205024,2024-10-03,Tamaño equivocado,23395.0
D50401,V212758,2024-11-21,Llegó tibio,10794.0
D50402,V106104,2023-04-28,Tamaño equivocado,34146.0
D50403,V205432,2024-04-16,Cambio de opinión,228944.0
D50404,V306796,2025-03-24,Cambio de opinión,31.0
D50405,V313603,2025-08-24,Sabor incorrecto,27175.0
D50406,V107317,2023-03-31,Sabor incorrecto,40264.0
D50407,V211379,2024-08-01,Cambio de opinión,127709.0
D50408,V113838,2023-12-12,Cliente insatisfecho,77348.0
D50409,V214738,2024-08-02, Cambio de opinión,8527.0
D50410,V318998,2025-03-02,SABOR INCORRECTO,103430.0
D50411,V109361,2023-04-20,Cambio de opinión,19175.0
D50412,V318376,1970-01-13,Cliente insatisfecho,79916.0
D50413,V112558,2023-11-30,Error en pedido,13617.0
D50414,V303956,1970-01-07,Cambio de opinión,28672.0
D50415,V310161,1970-01-03,Llegó frío,3.0
D50416,V209763,2024-10-12,Producto defectuoso,12296.0
D50417,V304218,1970-01-03,Cliente insatisfecho,29359.0
D50418,V207269,2024-12-15,Tamaño equivocado,8187.0
D50419,V110641,2023-04-18,Error en pedido,38482.0
D50420,V109244,2023-01-23,Producto defectuoso,28154.0
D50421,V318711,2025-03-04,Producto vencido,3.0
D50422,V109632,2023-01-24,Producto defectuoso,14254.0
D50423,V103061,2023-04-09,Sabor incorrecto,159145.0
D50424,V304838,1970-01-12,Sabor incorrecto,45130.0
D50425,V109215,2023-07-05,Llegó frío ,33463.0
D50426,V211243,2024-12-18,Cliente insatisfecho,27259.0
D50427,V212241,2024-12-09,sabor incorrecto,39248.0
D50428,V301343,2025-11-09,Error en pedido,181.0
D50429,V313228,1970-01-05,Llegó tibio,20810.0
D50430,V100579,2023-08-18,Llegó frío,18316.0
D50431,V309679,1970-01-02,Tamaño equivocado,60905.0
D50432,V200817,2024-08-28,Sabor incorrecto,17466.0
D50433,V300540,1970-01-02,llegó tibio,4.0
D50434,V112579,2023-08-09,error en pedido,16849.0
D50435,V107526,2023-04-12,Error en pedido,5900.0
D50436,V113414,2023-01-26,LLEGÓ TIBIO,23582.0
D50437,V211276,2024-08-21,Llegó frío,107256.0
D50438,V101478,2023-04-27,Llegó tibio,32447.0
D50439,V304260,2025-01-24,PRODUCTO VENCIDO,13919.0
D50440,V201678,2024-12-15,Error en pedido,60310.0
D50441,V202714,2024-01-24,Llegó frío,7418.0
D50442,V212133,2024-10-09,Llegó tibio,13339.0
D50443,V211318,2024-12-03,Sabor incorrecto,5929.0
D50444,V309641,1970-01-15,Llegó frío,176279.0
D50445,V210076,2024-12-19,Llegó tibio ,41661.0
D50446,V304500,2025-07-04,Cliente insatisfecho,7949.0
D50447,V316863,2025-05-09,Sabor incorrecto,28.0
D50448,V201012,2024-05-02,Tamaño equivocado ,8038.0
D50449,V303927,1970-01-05,llegó tibio,8.0
D50450,V302057,2025-02-02,Producto defectuoso,8917.0
D50451,V305817,2025-10-30,Producto vencido,8673.0
D50452,V314955,2025-05-30,Producto defectuoso,61612.0
D50453,V104344,2023-08-30,Sabor incorrecto,40051.0
D50454,V101599,2023-07-03,error en pedido,70057.0
D50455,V307587,2025-12-26,Error en pedido,11.0
D50456,V108904,2023-08-02,SABOR INCORRECTO,85390.0
D50457,V107777,2023-08-18,CLIENTE INSATISFECHO,8531.0
D50458,V204061,2024-05-28,Producto vencido,5307.0
D50459,V204771,2024-06-22,Tamaño equivocado ,44935.0
D50460,V110999,2023-08-12,Producto vencido,12982.0
D50461,V211771,2024-04-03,Error en pedido ,68538.0
D50462,V213733,2024-12-24,Cambio de opinión,31950.0
D50463,V203940,2024-06-09,Llegó tibio,20952.0
D50464,V216190,2024-01-29,PRODUCTO DEFECTUOSO,5960.0
D50465,V111823,2023-12-21,Sabor incorrecto,10036.0
D50466,V300135,2025-01-22,Error en pedido,8286.0
D50467,V206335,2024-12-28,SABOR INCORRECTO,10921.0
D50468,V302135,1970-01-13,Tamaño equivocado,6.0
D50469,V210727,2024-03-05,CLIENTE INSATISFECHO,27379.0
D50470,V313367,2025-12-05,Llegó tibio ,5.0
D50471,V310905,1970-01-14,Cambio de opinión,44009.0
D50472,V304674,1970-01-02,Producto defectuoso,56.0
D50473,V208717,2024-09-21,Cambio de opinión,21811.0
D50474,V311439,1970-01-02,Producto vencido,25780.0
D50475,V214397,2024-02-29,Error en pedido,45412.0
D50476,V108635,2023-05-20,Llegó tibio,35292.0
D50477,V110070,2023-01-12,Sabor incorrecto,19117.0
