id_turno,id_empleado,horas_trabajadas,puntualidad
329,3,8.0,A tiempo
329,4,8.0,A tiempo
293,5,8.0,A tiempo
293,16,8.0,Tardanza
61,3,8.0,A tiempo
92,9,8.0,A tiempo
92,4,4.0,A tiempo
92,3,6.0,A tiempo
668,9,4.0,A tiempo
668,17,8.0,A tiempo
668,3,8.0,A tiempo
238,4,6.0,A tiempo
238,3,8.0,A tiempo
548,9,4.0,A tiempo
548,14,8.0,A tiempo
39,4,6.0,A tiempo
39,16,6.0,A tiempo
180,17,8.0,A tiempo
180,16,4.0,A tiempo
428,14,8.0,A tiempo
428,5,8.0,A tiempo
428,9,8.0,Tardanza
181,3,6.0,A tiempo
181,9,6.0,Ausente
38,3,8.0,A tiempo
407,14,8.0,A tiempo
407,16,8.0,A tiempo
508,5,8.0,A tiempo
508,4,8.0,A tiempo
191,5,8.0,Tardanza
191,14,6.0,A tiempo
191,3,8.0,A tiempo
297,14,8.0,A tiempo
297,5,8.0,A tiempo
616,4,4.0,A tiempo
616,3,6.0,A tiempo
616,14,8.0,A tiempo
10,17,8.0,A tiempo
681,14,8.0,A tiempo
582,17,8.0,A tiempo
582,5,4.0,A tiempo
582,3,8.0,A tiempo
110,4,4.0,A tiempo
344,16,8.0,A tiempo
344,5,6.0,A tiempo
292,17,6.0,A tiempo
292,5,4.0,A tiempo
292,4,8.0,A tiempo
466,3,4.0,Tardanza
466,16,6.0,A tiempo
466,14,6.0,A tiempo
667,4,8.0,Tardanza
667,16,8.0,A tiempo
667,14,8.0,A tiempo
730,4,8.0,A tiempo
730,16,8.0,A tiempo
506,4,8.0,A tiempo
506,17,8.0,A tiempo
138,9,4.0,A tiempo
517,9,4.0,Tardanza
480,14,8.0,A tiempo
480,9,6.0,A tiempo
280,4,8.0,A tiempo
280,17,8.0,A tiempo
280,9,8.0,A tiempo
198,3,8.0,A tiempo
116,4,8.0,A tiempo
116,16,8.0,A tiempo
728,9,4.0,Tardanza
728,16,8.0,A tiempo
728,3,4.0,A tiempo
768,5,8.0,Ausente
470,16,6.0,A tiempo
470,14,8.0,A tiempo
264,3,4.0,A tiempo
609,4,8.0,A tiempo
609,3,8.0,A tiempo
15,16,8.0,A tiempo
15,14,8.0,A tiempo
15,9,8.0,Ausente
346,17,8.0,A tiempo
346,3,4.0,A tiempo
303,5,4.0,A tiempo
303,3,4.0,A tiempo
303,14,4.0,A tiempo
604,9,8.0,A tiempo
604,5,6.0,A tiempo
736,16,8.0,A tiempo
736,3,4.0,Ausente
736,17,6.0,A tiempo
615,17,4.0,A tiempo
416,14,4.0,A tiempo
416,16,8.0,A tiempo
438,9,8.0,A tiempo
773,17,8.0,A tiempo
773,14,4.0,A tiempo
773,16,8.0,Ausente
771,4,8.0,A tiempo
89,9,6.0,A tiempo
89,4,8.0,A tiempo
89,16,6.0,A tiempo
411,17,6.0,A tiempo
411,5,8.0,A tiempo
98,14,8.0,A tiempo
98,17,8.0,A tiempo
98,9,6.0,A tiempo
190,3,6.0,A tiempo
772,17,8.0,Tardanza
772,14,8.0,A tiempo
626,14,4.0,A tiempo
626,17,8.0,A tiempo
332,14,8.0,A tiempo
332,16,8.0,A tiempo
332,9,8.0,A tiempo
255,5,8.0,A tiempo
255,3,8.0,A tiempo
7,17,8.0,Ausente
7,16,8.0,A tiempo
268,9,4.0,A tiempo
268,5,8.0,A tiempo
268,16,8.0,Tardanza
393,16,6.0,Tardanza
393,9,8.0,A tiempo
242,3,8.0,A tiempo
458,4,6.0,A tiempo
458,14,8.0,Tardanza
274,17,8.0,A tiempo
338,3,8.0,A tiempo
338,5,4.0,A tiempo
310,3,8.0,A tiempo
310,16,6.0,A tiempo
310,17,4.0,A tiempo
12,5,8.0,A tiempo
12,4,8.0,A tiempo
566,3,6.0,A tiempo
566,4,8.0,Tardanza
369,4,8.0,A tiempo
369,16,6.0,A tiempo
369,17,8.0,A tiempo
630,16,8.0,A tiempo
706,4,8.0,A tiempo
122,16,8.0,A tiempo
122,17,4.0,Tardanza
477,5,4.0,A tiempo
477,4,6.0,A tiempo
315,14,8.0,A tiempo
315,3,8.0,A tiempo
164,14,8.0,A tiempo
164,5,8.0,Ausente
164,16,8.0,Tardanza
579,16,8.0,A tiempo
579,17,6.0,A tiempo
515,17,6.0,A tiempo
319,16,8.0,A tiempo
319,4,8.0,A tiempo
121,9,8.0,A tiempo
121,17,6.0,A tiempo
583,16,8.0,A tiempo
583,17,4.0,Tardanza
377,5,8.0,A tiempo
377,14,6.0,A tiempo
377,17,8.0,A tiempo
227,5,8.0,Tardanza
