id_turno,id_reactor,id_empleado,id_material,id_incidente,id_mantenimiento,energia_generada_mw,temperatura_nucleo,nivel_radiacion_msv,cantidad_material,costo_operacion,horas_operativas,donuts_consumidos,eficiencia_pct
730,2,16,4,67,,745.33,278.85,0.0277,3021.77,42143.99,6.0,3,95.56
406,1,14,3,80,,851.37,277.21,0.0181,1036.19,49011.04,8.0,2,100.16
532,2,18,2,66,,749.38,279.97,0.0193,1341.39,54090.09,8.0,5,96.07
184,2,8,2,51,,694.76,292.02,0.0345,3243.49,48255.82,8.0,1,89.07
101,1,9,1,77,,784.88,285.25,0.0311,2471.22,53369.66,8.0,4,92.34
142,5,17,3,2,,45.95,282.59,0.0338,2877.41,53662.57,6.0,6,91.9
776,3,16,4,,,407.79,320.32,0.0286,2652.89,35843.08,4.0,4,67.97
740,4,9,8,27,,859.2,289.56,0.0123,1314.58,46999.44,8.0,8,90.44
592,4,8,8,43,,917.37,275.72,0.0174,2671.13,42509.81,6.0,6,96.57
708,2,9,2,80,,689.67,302.12,0.0398,718.7,49363.82,6.0,6,88.42
401,1,14,2,67,,784.34,304.88,0.0387,604.13,50780.07,8.0,4,92.28
692,2,3,4,4,,706.58,294.71,0.0122,249.58,43822.11,4.0,6,90.59
59,2,3,3,46,,778.65,283.82,0.0187,1879.9,57791.9,8.0,6,99.83
490,3,14,4,19,,403.19,310.13,0.0611,3287.34,41869.5,4.0,4,67.2
602,1,16,7,29,,857.51,275.0,0.0262,3077.94,42936.8,4.0,5,100.88
472,2,3,2,41,,775.73,292.99,0.021,1371.86,52006.33,8.0,6,99.45
180,2,5,4,65,,778.76,292.21,0.0188,961.85,56913.75,8.0,3,99.84
644,2,4,3,,,728.1,297.48,0.0317,2645.11,40424.61,8.0,5,93.35
517,3,9,9,64,,413.08,312.71,0.045,1337.14,31829.89,6.0,5,68.85
764,2,6,4,6,,711.81,286.9,0.0285,293.51,47284.91,8.0,7,91.26
673,1,16,2,66,,778.85,283.81,0.0106,1033.04,54769.92,8.0,1,91.63
548,3,5,3,,,362.35,304.56,0.0436,3124.94,34448.51,8.0,5,60.39
546,1,3,1,55,,782.07,288.73,0.032,1314.38,53342.28,8.0,6,92.01
245,1,3,3,4,,749.61,288.25,0.0337,775.88,51599.19,8.0,6,88.19
99,3,5,4,7,,467.63,323.55,0.036,3270.47,45669.66,8.0,4,77.94
405,5,4,10,30,,46.32,291.75,0.0161,235.73,45783.73,8.0,7,92.64
286,2,9,2,10,,708.56,295.2,0.0156,2770.45,49977.38,4.0,1,90.84
583,1,4,7,,,824.94,278.62,0.0293,240.96,44640.93,6.0,5,97.05
19,2,18,4,54,,751.36,275.0,0.0131,79.14,49749.37,8.0,0,96.33
778,4,8,5,63,,929.52,285.95,0.0181,719.33,43932.29,6.0,2,97.84
39,1,18,3,,,784.32,286.08,0.0147,2772.27,50872.04,4.0,0,92.27
425,2,8,2,33,,760.71,285.01,0.0069,2130.18,56353.56,8.0,3,97.53
391,2,5,4,,,692.95,292.54,0.0222,3284.27,57073.22,8.0,0,88.84
129,1,18,2,34,,756.64,286.92,0.0303,875.15,42898.5,4.0,2,89.02
293,2,6,7,,,735.19,281.17,0.0383,1650.14,45191.64,8.0,6,94.26
433,2,14,3,,,766.87,295.78,0.0349,1882.51,53177.17,4.0,4,98.32
567,3,8,9,65,,455.26,308.13,0.0544,689.03,31798.49,6.0,1,75.88
195,1,17,7,69,,850.29,288.97,0.0379,1715.98,57409.85,6.0,5,100.03
657,5,4,3,,,50.45,301.16,0.0107,1786.08,53259.02,8.0,4,100.9
501,2,9,2,,,780.35,301.08,0.0307,2210.18,42847.06,8.0,0,100.04
693,1,5,7,,,852.34,291.63,0.0252,412.97,51252.09,8.0,2,100.28
95,2,14,4,,,785.18,292.82,0.0078,2904.97,56198.98,8.0,6,100.66
259,3,17,9,,,514.13,321.34,0.0751,2719.54,51735.45,4.0,0,85.69
353,4,8,5,80,,885.15,279.58,0.0336,1839.74,38031.57,6.0,1,93.17
671,1,14,2,25,,768.6,310.03,0.0097,1580.06,47729.43,8.0,8,90.42
218,1,3,2,,,769.2,304.12,0.0204,3039.93,56259.43,8.0,6,90.49
171,1,4,3,18,,755.1,286.27,0.006,38.23,42695.6,8.0,7,88.84
273,3,3,3,14,,469.69,295.25,0.0542,1658.95,54672.42,6.0,2,78.28
346,2,9,7,,,721.19,285.64,0.0176,3056.41,45969.43,8.0,0,92.46
103,1,14,2,4,,761.58,293.43,0.0236,1584.45,57021.24,8.0,3,89.6
703,3,16,9,,,360.66,317.33,0.0762,3057.65,38054.59,8.0,5,60.11
754,1,16,2,,,792.22,285.49,0.02,2571.3,56629.67,8.0,7,93.2
301,2,5,2,18,,767.2,285.86,0.0155,592.34,51461.24,6.0,8,98.36
457,5,16,9,76,,45.58,297.21,0.0295,3251.87,40109.39,8.0,0,91.16
335,5,8,10,,,48.33,304.87,0.0383,2219.25,51412.03,4.0,2,96.66
504,1,9,2,,,832.68,278.73,0.0182,3382.04,52348.85,4.0,6,97.96
448,4,6,6,10,,846.83,281.2,0.0081,2007.07,52811.62,8.0,3,89.14
131,4,14,8,27,,908.87,290.93,0.0198,2324.78,53425.62,4.0,2,95.67
605,1,14,1,76,,798.9,295.37,0.0101,2381.53,56857.8,6.0,3,93.99
151,2,5,2,,,717.72,292.1,0.0399,1735.11,52130.45,8.0,7,92.02
722,5,3,3,22,,48.66,287.75,0.0347,2452.92,56688.66,8.0,6,97.32
54,5,5,3,,,45.94,295.01,0.0106,1481.42,38431.32,8.0,6,91.88
485,5,14,3,11,,48.72,275.0,0.0149,345.13,56461.28,6.0,8,97.44
332,3,18,3,,,509.01,311.01,0.0256,1022.33,33439.02,6.0,5,84.83
149,1,6,1,51,,842.6,299.25,0.035,3241.32,45531.12,8.0,6,99.13
99,2,16,3,,,698.3,296.39,0.023,2196.27,44769.72,8.0,6,89.53
414,1,4,2,56,,781.45,283.95,0.0311,3027.81,53517.0,6.0,1,91.94
666,2,16,7,2,,698.23,285.2,0.0093,85.48,50828.19,8.0,8,89.52
587,5,16,3,,,44.61,281.43,0.04,442.7,52054.74,4.0,4,89.22
334,1,17,2,57,,825.43,283.66,0.0188,228.44,54349.26,6.0,8,97.11
599,2,4,3,,,777.42,292.56,0.0113,141.81,49094.44,8.0,5,99.67
589,1,5,1,79,,842.09,297.81,0.0062,1275.64,57598.57,8.0,8,99.07
558,1,3,2,43,,852.56,275.0,0.0281,1719.1,46898.41,4.0,6,100.3
321,2,9,3,,,753.59,286.3,0.0066,2997.02,38734.68,8.0,2,96.61
221,5,18,9,31,,46.33,295.72,0.0076,1403.21,43099.35,8.0,6,92.66
86,5,14,9,21,,45.32,296.07,0.027,1974.93,43387.99,8.0,3,90.64
664,4,18,5,36,,854.96,296.52,0.0059,440.55,50072.14,8.0,1,90.0
113,3,14,3,47,,378.68,326.82,0.0656,39.47,33658.24,8.0,1,63.11
387,5,6,3,,,49.09,287.6,0.0093,2875.59,48529.51,4.0,4,98.18
502,1,9,7,78,,815.13,291.9,0.0381,1933.09,45791.27,4.0,5,95.9
413,2,5,7,2,,738.48,285.04,0.0104,2575.3,40527.37,4.0,6,94.68
55,5,9,9,,,48.41,280.29,0.0204,1007.43,45080.03,4.0,7,96.82
439,2,6,7,,,695.22,292.35,0.0157,273.04,53411.57,8.0,1,89.13
246,5,5,9,9,,48.83,279.21,0.0356,3263.88,57243.33,4.0,6,97.66
140,2,17,2,57,,748.89,284.89,0.0369,2625.09,52918.35,4.0,6,96.01
251,5,17,9,,,47.95,299.69,0.0359,267.55,48470.33,8.0,3,95.9
137,2,3,4,70,,703.69,285.36,0.0389,2911.88,44759.17,8.0,6,90.22
121,1,16,7,38,,748.25,282.57,0.0373,3274.27,56582.18,8.0,8,88.03
633,4,3,6,1,,892.85,282.13,0.0154,3116.24,40143.28,8.0,6,93.98
191,2,3,2,61,,706.43,275.0,0.0194,548.93,56262.18,8.0,6,90.57
405,2,9,4,,,740.79,284.89,0.0144,493.86,57787.38,8.0,7,94.97
766,2,9,3,16,,715.29,293.58,0.0166,3359.15,38632.13,6.0,3,91.7
273,1,16,3,,,826.93,294.23,0.0164,2542.35,53287.85,4.0,6,97.29
760,4,14,5,10,,849.32,292.61,0.0225,2375.69,53347.7,8.0,3,89.4
351,2,18,2,61,,715.75,288.62,0.022,537.97,53218.0,4.0,3,91.76
524,1,8,1,,,857.87,288.25,0.0119,2140.8,52129.22,4.0,1,100.93
194,5,18,9,,,45.49,302.83,0.0096,1494.93,38767.33,8.0,3,90.98
632,1,3,3,58,,781.86,284.12,0.0168,1497.62,47583.9,4.0,6,91.98
53,1,8,7,40,,786.79,283.69,0.0196,147.91,44396.82,8.0,0,92.56
54,3,9,4,40,,418.83,316.23,0.043,1173.32,36306.58,8.0,3,69.8
115,1,3,2,47,,829.91,279.05,0.0235,739.07,45431.85,8.0,6,97.64
394,1,4,2,,,814.5,298.63,0.0064,2467.79,57366.6,8.0,3,95.82
102,1,17,7,43,,800.4,288.68,0.0104,2492.05,40556.64,4.0,6,94.16
778,4,17,6,77,,891.39,278.14,0.0301,1469.42,56216.98,6.0,1,93.83
516,3,5,8,,,387.08,296.59,0.0518,2593.8,49859.76,8.0,5,64.51
408,2,17,2,24,,762.52,277.62,0.019,564.21,43429.88,8.0,2,97.76
224,2,3,4,71,,759.47,297.25,0.0141,2480.35,55049.5,8.0,6,97.37
566,1,6,1,75,,780.25,275.79,0.0147,3463.43,40659.43,8.0,0,91.79
216,2,3,7,,,784.98,275.0,0.0164,927.81,56928.56,4.0,6,100.64
137,2,18,7,46,,692.21,294.0,0.0127,3400.76,57304.55,8.0,2,88.74
551,3,18,3,,,504.5,328.1,0.0317,725.53,45655.74,4.0,4,84.08
453,1,8,2,,,837.25,275.0,0.0314,1293.4,41112.83,6.0,3,98.5
491,1,5,3,26,,843.29,291.48,0.0305,574.4,50951.29,8.0,0,99.21
182,4,18,5,6,,844.9,296.61,0.0136,2536.45,56182.62,8.0,6,88.94
141,3,3,3,53,,364.35,323.93,0.0646,872.96,46112.05,8.0,0,60.73
86,1,18,1,,,749.04,290.59,0.0336,491.61,55054.4,8.0,1,88.12
778,2,16,3,44,,734.96,278.34,0.0135,435.15,48870.53,4.0,4,94.23
146,1,6,1,32,,790.58,284.02,0.0373,597.61,51688.35,6.0,1,93.01
113,1,8,7,11,,784.88,293.24,0.0176,2117.75,56494.04,8.0,1,92.34
183,2,9,3,,,701.63,284.63,0.0336,3207.24,44967.71,8.0,1,89.95
678,2,8,2,,,773.78,282.12,0.0392,521.49,53555.68,8.0,2,99.2
458,3,16,3,16,,449.77,320.43,0.0244,2687.54,38076.34,8.0,1,74.96
362,1,14,3,,,793.74,289.95,0.0331,1468.22,51079.08,6.0,3,93.38
510,2,16,3,54,,745.31,281.06,0.0198,827.0,49557.53,8.0,3,95.55
3,1,3,7,79,,853.82,290.46,0.0172,1034.97,54975.03,8.0,6,100.45
148,4,17,7,21,,938.24,286.66,0.007,2567.12,40756.03,6.0,2,98.76
713,5,9,10,,,48.31,301.64,0.0355,281.08,38603.71,8.0,5,96.62
79,1,14,2,,,799.91,294.82,0.0099,1443.27,48549.0,6.0,4,94.11
346,2,3,7,16,,692.48,281.19,0.0111,2915.22,41206.98,6.0,6,88.78
697,5,16,9,,,45.68,279.5,0.025,3260.42,44120.68,6.0,3,91.36
279,5,17,3,,,44.81,290.64,0.0127,2946.79,41673.88,4.0,8,89.62
710,2,9,4,,,703.11,298.8,0.0331,383.86,50932.94,8.0,3,90.14
80,2,9,2,34,,702.9,292.33,0.0054,710.03,56193.74,4.0,3,90.12
34,1,4,1,79,,835.32,291.42,0.0066,3431.99,44291.61,8.0,4,98.27
770,1,14,2,45,,791.17,285.4,0.0286,1760.11,44626.36,8.0,8,93.08
154,1,14,3,,,842.15,291.32,0.0152,3098.79,41030.76,8.0,7,99.08
96,5,6,10,,,48.25,288.56,0.0387,1568.94,48326.02,8.0,8,96.5
135,1,9,3,6,,826.76,283.29,0.0289,1986.32,42782.21,8.0,1,97.27
510,1,3,2,,,782.2,297.62,0.0363,1101.45,47978.25,6.0,6,92.02
303,1,8,7,50,,755.86,277.43,0.0299,2672.2,47214.82,8.0,7,88.92
453,3,5,3,,,462.53,307.72,0.0336,1545.69,40225.83,8.0,4,77.09
525,4,9,6,8,,887.03,275.0,0.0397,2450.61,38853.51,8.0,0,93.37
575,1,4,7,53,,811.0,293.06,0.0349,1224.54,42461.03,8.0,7,95.41
112,1,4,3,,,770.04,284.68,0.0399,977.92,47725.9,8.0,7,90.59
40,2,16,3,,,718.87,294.15,0.0061,3277.93,50021.55,8.0,6,92.16
371,3,16,4,8,,542.28,328.34,0.0594,297.15,36746.2,8.0,5,90.38
71,1,4,7,,,797.88,283.14,0.0363,3132.87,41681.57,8.0,0,93.87
439,1,8,2,28,,852.08,290.68,0.0219,1244.65,48710.13,6.0,2,100.24
