id_empleado,id_capacitacion,fecha_inicio,fecha_fin,calificacion,aprobado,certificado
5,12,2023-08-24,2023-08-27,7.8,1,CERT-12-0037
11,12,2020-08-24,2020-08-30,8.0,1,CERT-12-0038
19,10,2023-09-28,2023-10-05,8.5,1,CERT-10-0039
18,5,2024-12-02,2024-12-09,9.1,1,CERT-05-0040
17,2,2020-02-21,2020-02-28,6.2,1,CERT-02-0041
2,4,2021-06-30,2021-07-03,9.9,1,CERT-04-0042
9,3,2024-09-15,2024-09-16,8.6,1,CERT-03-0043
10,4,2024-03-23,2024-04-01,5.6,0,
20,14,2023-10-15,2023-10-24,9.4,1,CERT-14-0045
18,7,2021-05-01,2021-05-10,9.0,1,CERT-07-0046
10,12,2023-09-22,2023-09-23,9.7,1,CERT-12-0047
2,1,2024-03-03,2024-03-08,6.4,1,CERT-01-0048
15,14,2021-04-06,2021-04-12,8.9,1,CERT-14-0049
18,12,2023-05-20,2023-05-24,9.0,1,CERT-12-0050
7,5,2022-07-08,2022-07-11,9.9,1,CERT-05-0051
3,3,2020-12-21,2020-12-30,6.0,1,CERT-03-0052
2,7,2021-07-25,2021-08-03,6.7,1,CERT-07-0053
6,10,2024-09-28,2024-10-03,5.5,0,
15,12,2020-11-13,2020-11-14,6.2,1,CERT-12-0055
11,10,2020-04-14,2020-04-24,9.3,1,CERT-10-0056
10,8,2024-06-05,2024-06-15,8.0,1,CERT-08-0057
8,3,2022-12-02,2022-12-04,9.0,1,CERT-03-0058
6,7,2023-01-17,2023-01-26,7.3,1,CERT-07-0059
12,4,2024-12-14,2024-12-18,8.5,1,CERT-04-0060
11,6,2021-08-24,2021-08-28,9.8,1,CERT-06-0061
20,9,2022-08-30,2022-09-08,9.2,1,CERT-09-0062
1,2,2023-10-01,2023-10-07,7.5,1,CERT-02-0063
20,15,2023-06-26,2023-06-30,9.8,1,CERT-15-0064
11,7,2024-06-18,2024-06-20,7.2,1,CERT-07-0065
10,1,2022-11-24,2022-11-30,7.8,1,CERT-01-0066
17,8,2022-09-23,2022-09-24,6.8,1,CERT-08-0067
7,6,2022-11-18,2022-11-20,9.8,1,CERT-06-0068
6,13,2023-01-06,2023-01-15,5.5,0,
3,4,2023-10-04,2023-10-08,9.4,1,CERT-04-0070
14,14,2020-07-31,2020-08-04,7.9,1,CERT-14-0071
14,11,2024-07-30,2024-08-01,8.9,1,CERT-11-0072
5,1,2022-07-29,2022-08-04,5.7,0,
3,1,2020-12-30,2021-01-04,8.0,1,CERT-01-0074
19,14,2021-04-11,2021-04-16,7.3,1,CERT-14-0075
15,11,2022-04-08,2022-04-15,6.9,1,CERT-11-0076
13,11,2020-08-30,2020-09-08,5.5,0,
19,1,2023-12-06,2023-12-08,7.1,1,CERT-01-0078
10,13,2023-11-05,2023-11-10,8.2,1,CERT-13-0079
15,7,2022-03-20,2022-03-21,7.6,1,CERT-07-0080
18,4,2020-10-06,2020-10-13,9.1,1,CERT-04-0081
5,5,2023-10-19,2023-10-25,9.8,1,CERT-05-0082
1,9,2024-11-26,2024-12-05,6.1,1,CERT-09-0083
13,9,2023-01-26,2023-01-28,6.9,1,CERT-09-0084
14,15,2023-08-15,2023-08-24,6.1,1,CERT-15-0085
6,4,2023-06-17,2023-06-22,6.4,1,CERT-04-0086
6,11,2024-06-25,2024-07-05,9.3,1,CERT-11-0087
18,8,2023-08-13,2023-08-22,5.8,0,
4,4,2024-01-26,2024-02-05,7.7,1,CERT-04-0089
5,11,2023-09-04,2023-09-08,6.0,1,CERT-11-0090
16,8,2021-11-03,2021-11-13,8.5,1,CERT-08-0091
19,3,2023-03-04,2023-03-14,7.1,1,CERT-03-0092
6,1,2021-10-03,2021-10-07,9.0,1,CERT-01-0093
14,5,2024-09-16,2024-09-22,6.1,1,CERT-05-0094
11,15,2022-09-09,2022-09-17,7.5,1,CERT-15-0095
18,2,2020-12-25,2021-01-04,5.9,0,
9,14,2024-08-19,2024-08-22,9.5,1,CERT-14-0097
3,12,2020-06-03,2020-06-04,9.3,1,CERT-12-0098
1,14,2023-04-06,2023-04-16,7.3,1,CERT-14-0099
19,4,2020-03-16,2020-03-25,6.7,1,CERT-04-0100
5,6,2022-03-14,2022-03-18,9.5,1,CERT-06-0101
19,12,2024-10-21,2024-10-26,6.1,1,CERT-12-0102
3,7,2022-01-15,2022-01-24,5.5,0,
8,14,2024-07-09,2024-07-19,8.6,1,CERT-14-0104
17,3,2022-07-02,2022-07-05,6.3,1,CERT-03-0105
19,11,2024-11-21,2024-11-24,8.8,1,CERT-11-0106
16,6,2020-03-23,2020-03-27,8.9,1,CERT-06-0107
9,6,2021-04-24,2021-04-25,8.5,1,CERT-06-0108
17,15,2024-06-08,2024-06-14,7.2,1,CERT-15-0109
15,15,2020-04-05,2020-04-06,9.9,1,CERT-15-0110
11,2,2023-12-12,2023-12-21,8.4,1,CERT-02-0111
9,10,2023-01-19,2023-01-29,6.3,1,CERT-10-0112
13,6,2023-04-18,2023-04-20,7.8,1,CERT-06-0113
13,15,2021-04-01,2021-04-10,7.3,1,CERT-15-0114
12,8,2024-06-11,2024-06-19,9.5,1,CERT-08-0115
5,8,2020-12-05,2020-12-09,5.8,0,
9,4,2020-11-03,2020-11-06,6.2,1,CERT-04-0117
4,11,2021-04-16,2021-04-23,9.2,1,CERT-11-0118
7,10,2020-11-26,2020-12-03,5.6,0,
2,3,2023-03-20,2023-03-30,6.2,1,CERT-03-0120
17,1,2024-12-29,2025-01-08,6.2,1,CERT-01-0121
6,5,2021-01-03,2021-01-12,9.8,1,CERT-05-0122
20,10,2023-07-29,2023-07-30,9.5,1,CERT-10-0123
10,2,2021-03-19,2021-03-27,8.2,1,CERT-02-0124
16,3,2021-03-25,2021-04-01,8.2,1,CERT-03-0125
17,5,2020-12-09,2020-12-15,9.7,1,CERT-05-0126
1,4,2022-12-06,2022-12-15,8.6,1,CERT-04-0127
5,10,2020-07-16,2020-07-19,7.6,1,CERT-10-0128
18,9,2024-03-20,2024-03-22,5.9,0,
5,15,2023-05-20,2023-05-29,9.2,1,CERT-15-0130
14,9,2022-05-11,2022-05-17,9.4,1,CERT-09-0131
17,7,2021-04-14,2021-04-22,9.1,1,CERT-07-0132
19,13,2024-02-27,2024-03-08,5.9,0,
16,13,2021-04-21,2021-04-23,6.8,1,CERT-13-0134
1,12,2024-03-02,2024-03-03,8.1,1,CERT-12-0135
4,9,2020-01-15,2020-01-22,8.4,1,CERT-09-0136
12,2,2020-11-12,2020-11-19,8.4,1,CERT-02-0137
9,5,2024-10-16,2024-10-25,7.4,1,CERT-05-0138
12,10,2021-07-18,2021-07-25,8.9,1,CERT-10-0139
6,6,2023-02-19,2023-02-28,7.7,1,CERT-06-0140
10,10,2021-12-06,2021-12-13,8.8,1,CERT-10-0141
4,12,2021-04-15,2021-04-23,9.0,1,CERT-12-0142
6,2,2021-03-15,2021-03-24,7.3,1,CERT-02-0143
11,13,2023-02-01,2023-02-11,8.6,1,CERT-13-0144
1,13,2020-07-05,2020-07-08,7.6,1,CERT-13-0145
20,7,2020-06-29,2020-07-01,6.7,1,CERT-07-0146
13,10,2023-09-05,2023-09-14,6.8,1,CERT-10-0147
