fecha,tipo,descripcion,costo,id_reactor,id_empleado,duracion_horas,resultado
2023-08-23,Correctivo,"""Reparación bomba circulación tras falla""",64296.51,5,18,24,Exitoso
2024-11-21,Preventivo,"""Mantenimiento sistema HVAC""",25900.52,2,18,16,Exitoso
2022-06-07,Preventivo,"""Reemplazo filtros sistema de ventilación""",39713.86,3,6,16,Parcial
2021-10-26,Emergencia,"""Estabilización post-incidente""",199793.21,4,6,72,Fallido
2020-12-14,Correctivo,"""Corrección sobrecalentamiento""",60222.11,1,8,8,Exitoso
2021-04-20,Preventivo,"""Prueba de integridad del contenedor""",39084.07,3,8,12,Exitoso
2020-05-31,Preventivo,"""Revisión del sistema SCRAM""",41676.24,1,8,24,Exitoso
2024-09-27,Preventivo,"""Revisión del sistema SCRAM""",40141.63,2,18,24,Exitoso
2023-12-03,Preventivo,"""Revisión semestral barras de control""",10865.93,5,12,24,Exitoso
2023-05-26,Preventivo,"""Prueba de integridad del contenedor""",20096.42,5,6,36,Exitoso
2021-03-24,Correctivo,"""Corrección sobrecalentamiento""",96452.8,4,12,8,Exitoso
2023-07-10,Correctivo,"""Corrección fuga en tubería secundaria""",94335.62,3,8,48,Exitoso
2024-02-08,Preventivo,"""Revisión trimestral de válvulas y tuberías""",21991.31,3,12,24,Exitoso
2022-12-23,Preventivo,"""Limpieza de circuitos de refrigeración""",46111.45,5,12,12,Exitoso
2024-03-08,Preventivo,"""Inspección anual completa del reactor""",19133.35,1,12,24,Parcial
2024-10-27,Correctivo,"""Reparación sistema de enfriamiento""",116103.8,4,8,8,Parcial
2020-01-29,Correctivo,"""Reparación sistema de enfriamiento""",116563.32,3,18,48,Exitoso
2020-08-09,Preventivo,"""Limpieza de circuitos de refrigeración""",42005.56,1,12,16,Exitoso
2023-08-19,Correctivo,"""Sustitución sensor defectuoso""",107844.66,2,8,48,Exitoso
2021-09-15,Preventivo,"""Revisión del sistema SCRAM""",40708.17,4,6,8,Exitoso
2023-10-05,Emergencia,"""Reparación urgente sistema de contención""",319560.01,1,12,48,Exitoso
2024-09-03,Emergencia,"""Restablecimiento sistema de refrigeración primaria""",193164.22,3,6,48,Parcial
2021-04-28,Preventivo,"""Revisión del sistema SCRAM""",6799.4,2,18,16,Exitoso
2021-07-19,Correctivo,"""Corrección fuga en tubería secundaria""",53570.17,1,18,48,Exitoso
2020-04-13,Preventivo,"""Revisión semestral barras de control""",10042.04,1,6,12,Exitoso
2023-04-15,Correctivo,"""Sustitución válvula de control de presión""",97632.7,1,8,8,Exitoso
2020-09-23,Preventivo,"""Limpieza de circuitos de refrigeración""",47590.27,4,8,36,Exitoso
2024-06-05,Preventivo,"""Calibración de sensores de temperatura""",41358.17,4,12,8,Exitoso
2022-12-13,Correctivo,"""Reparación bomba circulación tras falla""",33295.85,3,18,8,Exitoso
2022-10-28,Preventivo,"""Revisión semestral barras de control""",47790.94,1,18,36,Exitoso
2024-10-01,Preventivo,"""Mantenimiento sistema HVAC""",21589.67,3,18,8,Exitoso
2021-10-21,Preventivo,"""Revisión semestral barras de control""",44182.07,3,6,24,Exitoso
2022-02-19,Correctivo,"""Corrección sobrecalentamiento""",80553.34,1,12,48,Exitoso
2024-10-12,Emergencia,"""Sellado de fuga radiactiva de emergencia""",216498.79,2,6,96,Exitoso
2022-04-27,Correctivo,"""Sustitución sensor defectuoso""",90688.19,4,8,8,Exitoso
2022-02-05,Preventivo,"""Prueba de integridad del contenedor""",45128.69,2,12,16,Exitoso
2024-03-04,Emergencia,"""Sellado de fuga radiactiva de emergencia""",98125.99,3,6,24,Exitoso
2022-04-21,Correctivo,"""Sustitución sensor defectuoso""",21298.0,4,6,48,Exitoso
2021-12-21,Preventivo,"""Prueba de integridad del contenedor""",52745.07,3,12,8,Parcial
2024-09-27,Preventivo,"""Inspección anual completa del reactor""",41120.5,2,12,12,Exitoso
2023-06-01,Preventivo,"""Revisión del sistema SCRAM""",36575.5,1,6,24,Exitoso
2021-11-26,Emergencia,"""Intervención de emergencia en núcleo""",87817.36,4,12,72,Parcial
2020-07-06,Preventivo,"""Inspección anual completa del reactor""",36147.66,1,6,24,Exitoso
2024-05-09,Correctivo,"""Reparación sistema de enfriamiento""",62632.81,1,12,8,Exitoso
2022-06-26,Emergencia,"""Estabilización post-incidente""",122006.57,3,12,24,Parcial
2021-12-07,Correctivo,"""Reparación sistema de enfriamiento""",58489.29,2,6,8,Parcial
2023-05-12,Preventivo,"""Revisión semestral barras de control""",33981.38,1,18,16,Exitoso
2020-01-16,Preventivo,"""Reemplazo filtros sistema de ventilación""",47204.22,1,6,16,Exitoso
2020-05-27,Preventivo,"""Inspección anual completa del reactor""",25911.41,2,12,12,Exitoso
2023-03-20,Preventivo,"""Prueba de integridad del contenedor""",6030.78,3,18,8,Exitoso
2024-06-29,Preventivo,"""Revisión del sistema SCRAM""",11334.54,3,8,8,Parcial
2022-12-09,Emergencia,"""Intervención de emergencia en núcleo""",103795.07,2,18,24,Exitoso
2022-12-22,Preventivo,"""Limpieza de circuitos de refrigeración""",17186.46,4,6,12,Exitoso
2021-06-08,Preventivo,"""Limpieza de circuitos de refrigeración""",24310.49,5,8,12,Exitoso
