fecha,tipo,descripcion,monto_usd,organismo,id_incidente,id_reactor,estado,fecha_limite
2023-11-25,Multa,"""Falta de equipo de protección en zona caliente""",407686.89,NRC,42,4,Pendiente,2024-04-25
2024-06-08,Advertencia,"""Operación sin licencia vigente de personal""",18185.08,DOE,19,1,Apelada,2024-08-28
2024-03-22,Suspension,"""Plan de evacuación desactualizado""",86999.87,NRC,23,3,Cancelada,2024-06-08
2024-12-26,Multa,"""Violación protocolo de reporte en 24 horas""",433570.15,DOE,34,1,Pagada,2025-05-07
2024-06-20,Advertencia,"""Incidente no reportado a tiempo""",9136.88,DOE,34,4,Pendiente,2024-11-29
2021-10-19,Multa,"""Incidente no reportado a tiempo""",44068.87,NRC,50,4,Pagada,2021-12-14
2022-07-04,Multa,"""Plan de evacuación desactualizado""",225728.3,OSHA,40,1,Pagada,2022-08-13
2020-06-02,Advertencia,"""Documentación de seguridad incompleta""",24955.61,FEMA,,,Pendiente,2020-10-13
2022-06-16,Multa,"""Fallo en prueba de sistema SCRAM""",84193.43,DOE,62,4,Pendiente,2022-07-24
2023-10-22,Multa,"""Fallo en prueba de sistema SCRAM""",186332.59,NRC,55,3,Pagada,2024-03-15
2021-05-26,Suspension,"""Operación sin licencia vigente de personal""",94609.83,NRC,59,2,Pagada,2021-07-24
2022-07-02,Multa,"""Almacenamiento inadecuado de residuos""",196558.75,NRC,24,2,Pagada,2022-09-24
2020-12-19,Clausura_Parcial,"""Exceso de límite de radiación en empleado""",0.0,NRC,7,1,Pendiente,2021-05-11
2021-08-17,Clausura_Parcial,"""Falta de equipo de protección en zona caliente""",0.0,DOE,50,4,Pagada,2021-12-01
2021-02-15,Suspension,"""Mantenimiento no realizado en fecha prevista""",102901.0,OSHA,11,3,Pagada,2021-04-21
2023-06-07,Multa,"""Falta de equipo de protección en zona caliente""",279240.61,EPA,50,4,Pagada,2023-07-29
2020-05-31,Multa,"""Mantenimiento no realizado en fecha prevista""",360840.48,NRC,75,4,Pagada,2020-08-01
2024-08-24,Clausura_Parcial,"""Exceso de límite de radiación en empleado""",0.0,OSHA,12,3,Pagada,2025-02-11
2020-11-09,Advertencia,"""Sensor de radiación sin calibración""",11382.84,NRC,12,1,Apelada,2021-02-24
2020-06-10,Multa,"""Mantenimiento no realizado en fecha prevista""",116607.79,NRC,26,3,Apelada,2020-09-12
2020-12-11,Multa,"""Plan de evacuación desactualizado""",66959.3,FEMA,46,3,Pagada,2021-06-07
2024-11-04,Multa,"""Mantenimiento no realizado en fecha prevista""",451490.44,OSHA,4,,Pagada,2024-12-11
2020-03-03,Multa,"""Documentación de seguridad incompleta""",136004.67,FEMA,56,3,Pendiente,2020-08-07
2021-09-01,Suspension,"""Fallo en prueba de sistema SCRAM""",144364.52,EPA,62,4,Pagada,2022-01-25
2024-10-30,Multa,"""Exceso de límite de radiación en empleado""",210732.76,NRC,13,2,Pagada,2025-02-18
2022-08-13,Advertencia,"""Incidente no reportado a tiempo""",4138.39,DOE,29,3,Pagada,2022-10-13
2024-11-07,Multa,"""Operación sin licencia vigente de personal""",30049.62,NRC,38,4,Apelada,2025-01-16
2022-10-18,Suspension,"""Mantenimiento no realizado en fecha prevista""",60652.94,FEMA,47,3,Pagada,2023-02-03
2020-04-13,Multa,"""Incidente no reportado a tiempo""",255195.01,NRC,32,1,Cancelada,2020-07-24
2020-10-01,Multa,"""Fallo en prueba de sistema SCRAM""",337897.7,DOE,10,1,Pendiente,2021-01-06
2021-08-14,Advertencia,"""Falta de equipo de protección en zona caliente""",2085.82,OSHA,33,3,Pendiente,2021-10-01
2020-07-17,Multa,"""Almacenamiento inadecuado de residuos""",143461.74,EPA,11,4,Cancelada,2020-11-24
2022-10-21,Multa,"""Almacenamiento inadecuado de residuos""",469779.54,FEMA,46,1,Pagada,2022-11-30
